Node,X,Y
202,-94.70970153808594,32.44850158691406
203,-95.51069641113281,33.66490173339844
204,-94.9363021850586,32.54650115966797
29,-95.38619995117188,29.5856990814209
30,-95.45469665527344,29.05900001525879
50,-95.97000122070312,28.98270034790039
51,-96.06510162353516,29.63139915466309
633,-94.22920227050781,30.85050010681152
95,-94.8333969116211,29.28919982910156
100,-95.92169952392578,30.06900024414062
102,-95.56069946289062,29.78450012207031
148,-97.02559661865234,28.85700035095215
155,-97.8927993774414,28.86140060424805
161,-96.3290023803711,29.28610038757324
632,-96.07550048828125,30.11429977416992
636,-95.33159637451172,32.38090133666992
169,-95.34829711914062,28.93840026855469
181,-94.93560028076172,29.33040046691895
210,-94.04299926757812,32.46110153198242
230,-97.29000091552734,29.09379959106445
240,-96.9802017211914,30.66399955749512
335,-97.95089721679688,29.59939956665039
328,-94.66609954833984,31.68169975280762
249,-96.35890197753906,30.69650077819824
637,-95.30069732666016,32.30289840698242
254,-94.931396484375,29.32819938659668
324,-95.60810089111328,31.73640060424805
333,-96.93730163574219,30.18289947509766
34,-98.61799621582031,27.83300018310547
109,-98.4115982055664,26.23870086669922
117,-98.66310119628906,27.29829978942871
118,-98.52580261230469,26.71559906005859
120,-97.81529998779297,27.2992992401123
631,-98.12220001220703,26.55690002441406
131,-97.65350341796875,27.79229927062988
135,-98.67859649658203,27.30120086669922
136,-98.58940124511719,28.1338996887207
137,-97.62969970703125,27.85600090026855
217,-98.1874008178711,28.52930068969727
218,-98.13349914550781,26.4503002166748
73,-98.66490173339844,27.87360000610352
77,-98.61799621582031,27.88279914855957
221,-99.46900177001953,27.50230026245117
222,-98.6780014038086,27.31259918212891
331,-93.96920013427734,30.44169998168945
32,-97.5811996459961,26.08099937438965
33,-97.20590209960938,26.07819938659668
68,-97.285400390625,26.0935001373291
69,-97.61720275878906,26.11380004882812
110,-97.7146987915039,26.18239974975586
111,-98.1227035522461,26.55699920654297
112,-97.42620086669922,26.55890083312988
113,-97.47760009765625,25.8922004699707
114,-97.76909637451172,26.48200035095215
213,-98.18190002441406,26.20669937133789
634,-97.57980346679688,26.08090019226074
343,-98.43209838867188,29.05159950256348
342,-98.54910278320312,28.46139907836914
70,-98.14820098876953,26.29940032958984
71,-97.72699737548828,26.24850082397461
630,-98.14089965820312,27.22640037536621
116,-98.52189636230469,26.71999931335449
40,-97.51139831542969,25.92589950561523
41,-97.22720336914062,26.07360076904297
42,-97.38710021972656,28.66819953918457
43,-97.85820007324219,28.81430053710938
103,-97.39969635009766,27.79910087585449
127,-97.39859771728516,27.72159957885742
314,-94.35880279541016,32.4911003112793
316,-94.3385009765625,32.18239974975586
140,-97.52449798583984,28.05949974060059
138,-97.48300170898438,28.03650093078613
141,-98.40470123291016,29.3129997253418
142,-97.5250015258789,28.05879974365234
143,-96.88800048828125,28.45529937744141
144,-97.29910278320312,27.91010093688965
642,-97.62139892578125,27.86339950561523
224,-97.46959686279297,27.7819995880127
236,-97.26830291748047,28.32029914855957
237,-97.63079833984375,27.90019989013672
121,-98.09829711914062,27.55069923400879
122,-97.85600280761719,27.51569938659668
124,-98.06999969482422,27.74939918518066
125,-97.55590057373047,27.68770027160645
123,-98.40290069580078,27.60040092468262
251,-98.54940032958984,28.46150016784668
252,-98.18240356445312,28.4606990814209
106,-98.4301986694336,28.90620040893555
38,-98.42919921875,29.0531005859375
39,-98.47740173339844,29.01099967956543
132,-97.46910095214844,27.78650093078613
133,-97.29060363769531,27.67230033874512
339,-97.1249008178711,27.96829986572266
239,-97.10559844970703,27.95689964294434
318,-94.33889770507812,32.18209838867188
145,-97.38369750976562,28.63540077209473
146,-96.88809967041016,28.45509910583496
227,-97.32579803466797,29.06279945373535
301,-96.99700164794922,28.86359977722168
302,-96.92610168457031,28.81480026245117
303,-97.08679962158203,28.76049995422363
306,-97.0863037109375,28.76009941101074
149,-96.9645004272461,28.77790069580078
150,-96.6239013671875,28.61639976501465
264,-97.41529846191406,30.11260032653809
233,-97.69010162353516,30.03899955749512
234,-97.64759826660156,29.68050003051758
645,-98.14689636230469,26.2992000579834
235,-97.68319702148438,30.22220039367676
265,-97.30740356445312,30.10499954223633
46,-97.41719818115234,30.11100006103516
638,-95.27549743652344,32.38759994506836
44,-96.58699798583984,29.73769950866699
45,-96.53959655761719,29.69260025024414
31,-95.38749694824219,29.00169944763184
157,-96.21009826660156,28.93779945373535
158,-96.21040344238281,28.93779945373535
160,-96.28990173339844,29.22089958190918
348,-96.18779754638672,28.88419914245605
49,-96.18930053710938,28.88369941711426
27,-95.3927993774414,29.0049991607666
28,-95.2874984741211,28.95170021057129
62,-94.42220306396484,30.90620040893555
63,-94.26239776611328,30.84339904785156
97,-94.09760284423828,33.39509963989258
332,-95.55570220947266,29.87360000610352
174,-94.18229675292969,31.7672004699707
175,-94.19280242919922,30.21980094909668
192,-95.30069732666016,32.30419921875
193,-94.71040344238281,31.3700008392334
362,-94.82730102539062,30.99690055847168
195,-94.13610076904297,30.0930004119873
337,-97.27290344238281,28.31529998779297
267,-94.68299865722656,31.92519950866699
320,-94.23690032958984,31.94799995422363
296,-94.82569885253906,30.99690055847168
340,-98.1104965209961,27.74959945678711
327,-96.59200286865234,30.87719917297363
364,-96.63569641113281,28.60950088500977
185,-94.77149963378906,30.0580005645752
272,-95.3865966796875,29.59729957580566
360,-95.41400146484375,29.94070053100586
89,-95.77149963378906,29.99979972839355
164,-95.97789764404297,29.60390090942383
166,-95.88760375976562,29.57839965820312
287,-95.92169952392578,30.06889915466309
288,-95.55180358886719,29.87179946899414
334,-96.881103515625,29.92149925231934
167,-96.1520004272461,29.76490020751953
242,-95.88860321044922,29.57859992980957
243,-95.81420135498047,29.47389984130859
87,-95.62120056152344,29.597900390625
88,-95.6718978881836,29.5659008026123
8,-94.99659729003906,30.31909942626953
9,-94.88999938964844,30.04409980773926
79,-94.4032974243164,29.96520042419434
186,-94.78279876708984,30.05850028991699
187,-94.67070007324219,29.77569961547852
188,-94.60009765625,30.02879905700684
189,-94.68419647216797,29.76849937438965
23,-95.1552963256836,29.77129936218262
24,-94.89920043945312,29.82159996032715
36,-95.05049896240234,29.79070091247559
37,-94.98629760742188,29.74670028686523
274,-95.15350341796875,29.71199989318848
355,-96.07610321044922,31.45109939575195
81,-95.25039672851562,30.05789947509766
82,-95.13710021972656,30.27120018005371
338,-97.51950073242188,28.04949951171875
66,-95.29620361328125,29.93939971923828
640,-95.13369750976562,32.44100189208984
21,-95.09600067138672,30.34379959106445
22,-94.98999786376953,30.32180023193359
190,-94.38400268554688,29.82740020751953
191,-94.38899993896484,29.54940032958984
14,-94.77429962158203,30.05839920043945
78,-94.40789794921875,30.03779983520508
205,-94.95500183105469,32.52909851074219
206,-95.27570343017578,32.38710021972656
323,-95.6541976928711,31.74580001831055
86,-95.6001968383789,31.79310035705566
25,-96.16480255126953,31.72470092773438
26,-95.7970962524414,31.6476001739502
326,-96.60820007324219,30.90480041503906
85,-95.66130065917969,31.7726993560791
16,-95.76730346679688,31.65290069580078
17,-95.57689666748047,31.63010025024414
344,-98.47730255126953,29.01110076904297
329,-94.6720962524414,31.57690048217773
1,-95.26730346679688,32.38759994506836
211,-95.38760375976562,32.46849822998047
212,-95.33159637451172,32.37870025634766
277,-94.61949920654297,31.589599609375
330,-94.12550354003906,31.53269958496094
18,-94.86930084228516,32.37070083618164
19,-94.78679656982422,32.16799926757812
293,-94.78620147705078,32.16749954223633
294,-94.79139709472656,32.14479827880859
641,-97.59259796142578,29.65239906311035
20,-94.82759857177734,32.43489837646484
321,-95.27339935302734,31.97369956970215
322,-95.27050018310547,31.96349906921387
336,-97.38870239257812,28.66819953918457
173,-93.81549835205078,30.05050086975098
255,-94.22930145263672,30.85149955749512
256,-94.1863021850586,30.31080055236816
283,-93.98529815673828,29.88209915161133
280,-93.89450073242188,29.73340034484863
282,-93.96309661865234,29.86650085449219
12,-94.14320373535156,30.05159950256348
56,-94.01599884033203,30.13339996337891
57,-94.07270050048828,30.3568000793457
10,-94.14779663085938,30.04710006713867
11,-94.13289642333984,30.09560012817383
285,-93.9854965209961,29.88629913330078
286,-93.9552993774414,29.91850090026855
325,-96.44529724121094,32.07429885864258
310,-94.20429992675781,31.83169937133789
60,-94.04290008544922,32.3734016418457
317,-94.3385009765625,32.18209838867188
319,-94.3322982788086,32.13119888305664
54,-94.36699676513672,32.14690017700195
176,-94.17649841308594,33.10589981079102
315,-94.32060241699219,32.15890121459961
312,-94.3499984741211,32.55179977416992
3,-95.5542984008789,33.68650054931641
345,-98.09600067138672,28.02140045166016
346,-97.95500183105469,29.22660064697266
347,-97.29720306396484,29.30940055847168
351,-95.56310272216797,29.78459930419922
350,-95.77660369873047,29.78529930114746
352,-95.2958984375,29.94000053405762
353,-95.15370178222656,29.77129936218262
354,-95.0302963256836,29.6840991973877
356,-96.90270233154297,29.69350051879883
357,-96.98320007324219,29.19560050964355
358,-95.20549774169922,29.60650062561035
359,-95.4010009765625,29.48250007629395
361,-94.69960021972656,31.31889915466309
363,-94.93250274658203,30.73390007019043
365,-96.61509704589844,28.43910026550293
366,-93.83409881591797,30.15449905395508
367,-93.8938980102539,30.12129974365234
368,-93.8125,30.05349922180176
369,-97.46109771728516,29.48419952392578
370,-97.49250030517578,29.45669937133789
371,-97.56909942626953,29.25289916992188
372,-97.27320098876953,28.31550025939941
373,-97.3468017578125,28.26499938964844
374,-97.32369995117188,28.24930000305176
375,-98.58899688720703,27.0447998046875
376,-98.69730377197266,27.04339981079102
377,-96.30239868164062,30.66080093383789
378,-96.31880187988281,30.65180015563965
379,-93.98639678955078,29.88369941711426
380,-94.15339660644531,29.85370063781738
381,-93.97329711914062,29.85269927978516
382,-98.18109893798828,26.39669990539551
383,-98.14129638671875,26.39189910888672
384,-95.50270080566406,33.64730072021484
385,-95.7229995727539,33.39459991455078
386,-96.33480072021484,32.71390151977539
387,-96.40779876708984,32.89780044555664
388,-97.35469818115234,29.08309936523438
389,-97.35679626464844,29.08209991455078
390,-97.32640075683594,29.06220054626465
391,-94.60710144042969,31.28510093688965
392,-94.61180114746094,31.25480079650879
393,-97.20179748535156,31.55240058898926
394,-95.57119750976562,33.66730117797852
395,-96.13490295410156,31.37520027160645
396,-95.99569702148438,31.29649925231934
397,-95.99859619140625,31.29599952697754
398,-98.5448989868164,28.45929908752441
399,-98.56780242919922,28.35269927978516
400,-98.55999755859375,28.35059928894043
401,-95.69049835205078,29.56130027770996
402,-95.7708969116211,29.52750015258789
403,-95.82279968261719,29.48100090026855
404,-96.91339874267578,29.90609931945801
405,-96.9197998046875,29.87680053710938
406,-96.90029907226562,29.86050033569336
407,-94.35009765625,32.54840087890625
408,-94.37149810791016,32.54809951782227
409,-94.3655014038086,32.49079895019531
410,-96.42400360107422,30.16609954833984
411,-96.40339660644531,30.21450042724609
412,-93.85179901123047,31.34320068359375
413,-93.847900390625,31.34320068359375
414,-95.3322982788086,33.52949905395508
415,-95.56390380859375,33.14960098266602
416,-95.58309936523438,31.62199974060059
417,-95.42269897460938,31.31769943237305
418,-95.43219757080078,31.30150032043457
419,-98.5199966430664,29.44899940490723
420,-94.76190185546875,32.10770034790039
421,-94.76940155029297,32.10480117797852
422,-97.9468002319336,29.78319931030273
423,-98.2781982421875,29.80820083618164
424,-97.0322036743164,28.10009956359863
425,-96.99140167236328,28.0846996307373
426,-94.92880249023438,30.70240020751953
427,-95.16690063476562,30.57950019836426
428,-94.98660278320312,30.51420021057129
429,-96.22209930419922,29.27790069580078
430,-96.3051986694336,29.24300003051758
431,-97.93930053710938,29.22719955444336
432,-97.8593978881836,28.90570068359375
433,-97.8948974609375,28.89999961853027
434,-96.25440216064453,32.69570159912109
435,-96.28780364990234,32.59930038452148
436,-96.30919647216797,32.57460021972656
437,-98.4937973022461,27.69230079650879
438,-98.50890350341797,27.68129920959473
439,-95.07260131835938,33.28150177001953
440,-95.21839904785156,33.17549896240234
441,-95.96620178222656,30.07620048522949
442,-95.98770141601562,30.01079940795898
443,-97.66840362548828,27.42670059204102
444,-94.63459777832031,33.47679901123047
445,-94.42330169677734,33.44580078125
446,-94.1500015258789,33.33670043945312
447,-97.6688003540039,29.84420013427734
448,-97.62000274658203,29.83709907531738
449,-97.64189910888672,29.68000030517578
450,-94.9656982421875,33.21659851074219
451,-95.00679779052734,33.21260070800781
452,-98.03109741210938,30.05820083618164
453,-98.85330200195312,29.17399978637695
454,-99.11009979248047,29.35569953918457
455,-96.93730163574219,28.82460021972656
456,-96.97149658203125,28.79640007019043
457,-96.9573974609375,28.78389930725098
458,-94.41490173339844,30.77129936218262
459,-94.37660217285156,30.77120018005371
460,-94.8114013671875,30.55929946899414
461,-96.87419891357422,31.27680015563965
462,-96.93579864501953,31.25329971313477
463,-96.56289672851562,30.9596004486084
464,-97.6011962890625,26.48299980163574
465,-97.591796875,26.47699928283691
466,-95.8501968383789,32.22689819335938
467,-95.85359954833984,32.21189880371094
468,-95.97570037841797,31.95689964294434
469,-95.58149719238281,30.73110008239746
470,-95.57230377197266,30.73900032043457
471,-94.86270141601562,29.3799991607666
472,-94.93199920654297,29.33779907226562
473,-95.3916015625,29.93869972229004
474,-95.39230346679688,29.8572998046875
475,-95.39869689941406,29.85390090942383
476,-94.68350219726562,31.61879920959473
477,-94.61589813232422,31.61599922180176
478,-97.94309997558594,29.58449935913086
479,-97.94860076904297,29.58309936523438
480,-98.11170196533203,29.35370063781738
481,-96.9896011352539,28.96570014953613
482,-96.57769775390625,28.95420074462891
483,-96.57769775390625,28.95350074768066
484,-99.11940002441406,28.87649917602539
485,-99.1082992553711,28.86779975891113
486,-96.50599670410156,29.63069915771484
487,-96.52629852294922,29.62080001831055
488,-96.0916976928711,29.5935001373291
489,-94.14569854736328,31.79649925231934
490,-94.1449966430664,31.79240036010742
491,-94.15409851074219,31.79140090942383
492,-94.34359741210938,33.07749938964844
493,-94.3062973022461,33.04259872436523
494,-96.64959716796875,32.3849983215332
495,-96.79450225830078,32.3484001159668
496,-97.57630157470703,30.53840065002441
497,-97.60079956054688,30.64800071716309
498,-95.83329772949219,32.56959915161133
499,-95.83650207519531,32.56370162963867
500,-96.08930206298828,32.37060165405273
501,-95.9854965209961,30.54350090026855
502,-96.12470245361328,30.43810081481934
503,-96.44960021972656,32.05149841308594
504,-96.47250366210938,32.04690170288086
505,-98.14250183105469,27.04249954223633
506,-98.21869659423828,27.03160095214844
507,-98.58879852294922,27.02809906005859
508,-94.95279693603516,32.80440139770508
509,-95.3821029663086,32.78639984130859
510,-95.3853988647461,32.46839904785156
511,-94.8740005493164,30.80520057678223
512,-94.83000183105469,30.79269981384277
513,-94.93090057373047,30.73240089416504
514,-96.95800018310547,30.31369972229004
515,-96.9656982421875,30.31069946289062
516,-96.96119689941406,30.18549919128418
517,-95.16519927978516,31.83699989318848
518,-95.17410278320312,31.83359909057617
519,-94.09339904785156,31.44510078430176
520,-94.16819763183594,31.39419937133789
521,-95.90029907226562,30.98349952697754
522,-95.92839813232422,30.96549987792969
523,-96.69000244140625,30.99430084228516
524,-96.97679901123047,30.78630065917969
525,-96.9220962524414,30.68880081176758
526,-97.44290161132812,27.74320030212402
527,-97.46320343017578,27.71139907836914
528,-97.46309661865234,27.68819999694824
529,-94.96430206298828,32.97840118408203
530,-94.97850036621094,32.97320175170898
531,-96.14129638671875,31.72159957885742
532,-96.14910125732422,31.70490074157715
533,-96.17040252685547,31.69790077209473
534,-94.3572006225586,32.79800033569336
535,-94.36370086669922,32.79449844360352
536,-94.73909759521484,30.15449905395508
537,-94.81220245361328,30.1515998840332
538,-93.95020294189453,30.77459907531738
539,-94.02510070800781,30.74399948120117
540,-93.82720184326172,30.72979927062988
541,-94.67140197753906,29.70829963684082
542,-95.02999877929688,29.68630027770996
543,-94.3125,30.37019920349121
544,-94.39019775390625,30.33239936828613
545,-95.30940246582031,29.4512996673584
546,-95.4343032836914,29.16780090332031
547,-95.45320129394531,29.16769981384277
548,-97.31199645996094,30.10359954833984
549,-97.6937026977539,30.08860015869141
550,-96.15609741210938,31.60390090942383
551,-96.58049774169922,31.54549980163574
552,-96.92659759521484,31.48410034179688
553,-94.69409942626953,33.66770172119141
554,-95.05039978027344,33.62070083618164
555,-95.21420288085938,33.47000122070312
556,-96.11669921875,28.91710090637207
557,-96.00399780273438,28.78569984436035
558,-98.0593032836914,28.38599967956543
559,-98.12480163574219,28.35140037536621
560,-98.12950134277344,28.34900093078613
561,-98.53939819335938,28.89360046386719
562,-98.527099609375,28.89349937438965
563,-98.02870178222656,29.24679946899414
564,-98.08660125732422,29.17399978637695
565,-98.14350128173828,29.13220024108887
566,-98.56719970703125,26.71540069580078
567,-98.7384033203125,26.56220054626465
568,-98.806396484375,26.37849998474121
569,-96.77790069580078,32.7666015625
570,-99.26219940185547,28.3882007598877
571,-99.09970092773438,28.34510040283203
572,-99.22779846191406,28.02510070800781
573,-96.23889923095703,30.13240051269531
574,-96.27790069580078,29.88699913024902
575,-96.25689697265625,29.75399971008301
576,-95.26820373535156,32.375
577,-95.26920318603516,32.375
578,-96.51280212402344,31.027099609375
579,-96.50270080566406,31.01479911804199
580,-97.85279846191406,27.26099967956543
581,-97.6364974975586,26.92799949645996
582,-97.427001953125,26.55879974365234
583,-96.78710174560547,30.73959922790527
584,-96.62149810791016,30.49250030517578
585,-96.56340026855469,30.1879997253418
586,-97.73500061035156,28.42009925842285
587,-97.74120330810547,28.41740036010742
588,-97.92359924316406,28.25729942321777
589,-95.135498046875,31.08880043029785
590,-95.14929962158203,31.06769943237305
591,-94.92960357666016,32.52920150756836
592,-94.81690216064453,32.48049926757812
593,-94.81500244140625,32.43500137329102
594,-96.95939636230469,29.3892993927002
595,-96.9301986694336,29.3843994140625
596,-97.04830169677734,29.23550033569336
597,-97.42579650878906,28.6648998260498
598,-97.42649841308594,28.65710067749023
599,-94.73269653320312,33.11349868774414
600,-94.70099639892578,33.10580062866211
601,-94.94249725341797,32.73630142211914
602,-94.94149780273438,32.73630142211914
603,-94.7511978149414,32.71709823608398
604,-97.53019714355469,28.01189994812012
605,-97.51830291748047,28.0088005065918
606,-97.65260314941406,27.9424991607666
607,-99.1541976928711,27.66119956970215
608,-99.15160369873047,27.65640068054199
609,-99.23300170898438,27.48909950256348
610,-93.79350280761719,30.79640007019043
611,-93.74469757080078,30.78630065917969
612,-94.30699920654297,32.16460037231445
613,-94.30560302734375,32.16239929199219
614,-94.3208999633789,32.16019821166992
615,-95.56780242919922,32.06520080566406
616,-95.65249633789062,31.81329917907715
617,-95.67510223388672,31.79210090637207
618,-97.4529037475586,26.1515007019043
619,-97.45240020751953,26.12929916381836
620,-95.46939849853516,30.3085994720459
621,-95.50299835205078,30.30019950866699
622,-95.21309661865234,30.15900039672852
623,-98.08989715576172,27.74589920043945
624,-98.08989715576172,27.73130035400391
625,-98.10079956054688,27.72159957885742
626,-99.279296875,26.91650009155273
627,-99.1686019897461,27.00079917907715
628,-97.77130126953125,30.25
629,-94.16339874267578,33.13570022583008
635,-97.4906997680664,25.92230033874512
639,-96.15280151367188,29.76449966430664
643,-97.5165023803711,28.03669929504395
644,-94.15509796142578,31.7943000793457
646,-95.22889709472656,30.12960052490234
675,-95.41449737548828,30.09339904785156
649,-95.43560028076172,30.1067008972168
650,-95.35530090332031,29.82559967041016
655,-95.74169921875,29.98859977722168
657,-95.65010070800781,29.7849006652832
661,-95.22260284423828,29.60099983215332
662,-95.77629852294922,29.7047004699707
664,-95.3584976196289,29.74270057678223
666,-95.54949951171875,29.65290069580078
667,-95.55989837646484,29.67720031738281
669,-95.14620208740234,29.75959968566895
670,-95.16699981689453,29.82159996032715
676,-95.435302734375,30.09259986877441
677,-95.76899719238281,29.99889945983887
685,-95.77580261230469,29.70059967041016
686,-95.55799865722656,29.6609992980957
2,-95.5022964477539,33.87519836425781
72,-99.3501968383789,28.04619979858398
76,-99.49520111083984,27.53059959411621
96,-96.73249816894531,32.66849899291992
99,-97.66950225830078,30.32690048217773
101,-98.28910064697266,29.46619987487793
104,-98.41539764404297,29.32869911193848
105,-98.47789764404297,29.32220077514648
115,-99.50350189208984,27.50670051574707
134,-98.5530014038086,29.31999969482422
147,-98.24600219726562,29.3661003112793
154,-97.93930053710938,29.8701000213623
201,-94.69429779052734,33.6859016418457
207,-96.63069915771484,32.69039916992188
209,-96.62909698486328,32.6968994140625
225,-99.35060119628906,28.0403995513916
226,-98.6095962524414,29.31579971313477
246,-97.0696029663086,31.54710006713867
257,-94.09860229492188,33.45230102539062
262,-97.68800354003906,30.5172004699707
263,-97.75129699707031,30.21640014648438
